File,Ground Truth,Prediction,Missed (FN),False Alarm (FP)
FS01_20230718_170000_1.pt,"Cicada, Frog, Rain","Cicada, Rain",Frog,
FS01_20230718_170000_10.pt,"Cicada, Frog, Rain","Cicada, Rain",Frog,
FS01_20230718_170000_2.pt,"Cicada, Frog, Rain","Cicada, Rain",Frog,
FS01_20230718_170000_3.pt,"Cicada, Frog, Rain","Cicada, Rain",Frog,
FS01_20230718_170000_4.pt,"Cicada, Frog, Rain","Cicada, Rain",Frog,
FS01_20230718_170000_5.pt,"Cicada, Frog, Rain","Cicada, Rain",Frog,
FS01_20230718_170000_6.pt,"Cicada, Frog, Rain","Cicada, Rain",Frog,
FS01_20230718_170000_7.pt,"Cicada, Frog, Rain",Rain,"Cicada, Frog",
FS01_20230718_170000_8.pt,"Cicada, Frog, Rain",Rain,"Cicada, Frog",
FS01_20230718_170000_9.pt,"Cicada, Frog, Rain","Cicada, Rain",Frog,
FS01_20230724_115100_1.pt,"Cicada, Speech, Wind","Cicada, Speech",Wind,
FS01_20230724_115100_3.pt,"Cicada, Speech, Wind","Cicada, Speech",Wind,
FS01_20230724_115100_8.pt,"Cicada, Speech, Wind","Cicada, Speech",Wind,
FS01_20230724_115100_9.pt,"Cicada, Speech, Wind","Cicada, Speech",Wind,
FS01_20230728_183600_1.pt,"Aircraft, Cicada, Frog","Cicada, Frog",Aircraft,
FS01_20230728_183600_10.pt,"Aircraft, Cicada, Frog","Cicada, Frog",Aircraft,
FS01_20230728_183600_2.pt,"Aircraft, Cicada, Frog","Cicada, Frog",Aircraft,
FS01_20230728_183600_3.pt,"Aircraft, Cicada, Frog","Cicada, Frog",Aircraft,
FS01_20230728_183600_4.pt,"Aircraft, Cicada, Frog","Cicada, Frog",Aircraft,
FS01_20230728_183600_5.pt,"Aircraft, Cicada, Frog","Cicada, Frog",Aircraft,
FS01_20230728_183600_6.pt,"Aircraft, Cicada, Frog","Cicada, Frog",Aircraft,
FS01_20230728_183600_7.pt,"Aircraft, Cicada, Frog","Cicada, Frog",Aircraft,
FS01_20230728_183600_8.pt,"Aircraft, Cicada, Frog","Cicada, Frog",Aircraft,
FS01_20230728_183600_9.pt,"Aircraft, Cicada, Frog","Cicada, Frog",Aircraft,
FS01_20230804_010000_1.pt,"Frog, Insect, Wind","Insect, Wind",Frog,
FS01_20230804_010000_10.pt,"Frog, Insect, Wind","Insect, Wind",Frog,
FS01_20230804_010000_2.pt,"Frog, Insect, Wind","Insect, Wind",Frog,
FS01_20230804_010000_3.pt,"Frog, Insect, Wind","Insect, Wind",Frog,
FS01_20230804_010000_4.pt,"Frog, Insect, Wind","Insect, Wind",Frog,
FS01_20230805_130900_1.pt,"Cicada, Speech","Cicada, Speech, Wind",,Wind
FS01_20230805_130900_10.pt,"Cicada, Speech","Cicada, Speech, Wind",,Wind
FS01_20230805_130900_3.pt,"Cicada, Speech","Cicada, Speech, Wind",,Wind
FS01_20230805_130900_4.pt,"Cicada, Speech","Cicada, Speech, Wind",,Wind
FS01_20230805_130900_5.pt,"Cicada, Speech","Cicada, Speech, Wind",,Wind
FS01_20230805_130900_6.pt,"Cicada, Speech","Cicada, Speech, Wind",,Wind
FS01_20230805_130900_7.pt,"Cicada, Speech","Cicada, Speech, Wind",,Wind
FS01_20230805_130900_8.pt,"Cicada, Speech","Speech, Wind",Cicada,Wind
FS01_20230805_130900_9.pt,"Cicada, Speech","Cicada, Speech, Wind",,Wind
FS01_20230814_133000_1.pt,"Cicada, Frog, Insect, Speech","Cicada, Insect, Speech",Frog,
FS01_20230814_133000_10.pt,"Cicada, Frog, Insect, Speech","Cicada, Insect, Speech",Frog,
FS01_20230814_133000_2.pt,"Cicada, Frog, Insect, Speech","Cicada, Insect, Speech",Frog,
FS01_20230814_133000_3.pt,"Cicada, Frog, Insect, Speech","Cicada, Insect, Speech",Frog,
FS01_20230814_133000_4.pt,"Cicada, Frog, Insect, Speech","Cicada, Frog, Insect",Speech,
FS01_20230814_133000_5.pt,"Cicada, Frog, Insect, Speech","Cicada, Frog, Insect",Speech,
FS01_20230814_133000_6.pt,"Cicada, Frog, Insect, Speech","Cicada, Insect, Speech",Frog,
FS01_20230814_133000_7.pt,"Cicada, Frog, Insect, Speech","Cicada, Insect, Speech",Frog,
FS01_20230814_133000_8.pt,"Cicada, Frog, Insect, Speech","Cicada, Insect, Speech",Frog,
FS01_20230814_133000_9.pt,"Cicada, Frog, Insect, Speech","Cicada, Insect, Speech",Frog,
FS01_20230816_113600_1.pt,"Bird, Cicada, Insect, Speech","Cicada, Speech","Bird, Insect",
FS01_20230816_113600_10.pt,"Bird, Cicada, Insect, Speech","Bird, Insect, Speech",Cicada,
FS01_20230816_113600_2.pt,"Bird, Cicada, Insect, Speech","Cicada, Insect, Speech",Bird,
FS01_20230816_113600_3.pt,"Bird, Cicada, Insect, Speech","Cicada, Insect, Speech",Bird,
FS01_20230816_113600_4.pt,"Bird, Cicada, Insect, Speech","Cicada, Insect, Speech",Bird,
FS01_20230816_113600_5.pt,"Bird, Cicada, Insect, Speech","Cicada, Speech","Bird, Insect",
FS01_20230816_113600_6.pt,"Bird, Cicada, Insect, Speech","Cicada, Insect, Speech",Bird,
FS01_20230816_113600_7.pt,"Bird, Cicada, Insect, Speech","Cicada, Insect, Speech",Bird,
FS01_20230816_113600_8.pt,"Bird, Cicada, Insect, Speech","Cicada, Insect, Speech",Bird,
FS01_20230816_113600_9.pt,"Bird, Cicada, Insect, Speech","Bird, Insect, Speech",Cicada,
FS01_20230909_095100_1.pt,"Cicada, Insect, Speech","Bird, Insect, Speech, Wind",Cicada,"Bird, Wind"
FS01_20230909_095100_10.pt,"Cicada, Insect, Speech","Insect, Speech, Wind",Cicada,Wind
FS01_20230909_095100_2.pt,"Cicada, Insect, Speech","Bird, Insect, Speech",Cicada,Bird
FS01_20230909_095100_3.pt,"Cicada, Insect, Speech","Bird, Cicada, Insect, Speech",,Bird
FS01_20230909_095100_4.pt,"Cicada, Insect, Speech","Bird, Insect, Speech",Cicada,Bird
FS01_20230909_095100_5.pt,"Cicada, Insect, Speech","Bird, Insect, Speech",Cicada,Bird
FS01_20230909_095100_6.pt,"Cicada, Insect, Speech","Bird, Insect, Speech",Cicada,Bird
FS01_20230909_095100_7.pt,"Cicada, Insect, Speech","Bird, Insect, Speech",Cicada,Bird
FS01_20230909_095100_8.pt,"Cicada, Insect, Speech","Bird, Insect, Speech",Cicada,Bird
FS01_20230909_095100_9.pt,"Cicada, Insect, Speech","Bird, Insect, Speech, Wind",Cicada,"Bird, Wind"
FS01_20230914_072100_1.pt,"Bird, Cicada, Insect","Cicada, Insect",Bird,
FS01_20230914_072100_10.pt,"Bird, Cicada, Insect","Cicada, Insect",Bird,
FS01_20230914_072100_3.pt,"Bird, Cicada, Insect","Cicada, Insect",Bird,
FS01_20230914_072100_4.pt,"Bird, Cicada, Insect","Cicada, Insect",Bird,
FS01_20230914_072100_6.pt,"Bird, Cicada, Insect","Cicada, Insect",Bird,
FS01_20230914_145400_1.pt,"Cicada, Insect, Speech, Wind","Aircraft, Bird, Cicada, Insect, Speech",Wind,"Aircraft, Bird"
FS01_20230914_145400_10.pt,"Cicada, Insect, Speech, Wind","Aircraft, Bird, Cicada, Insect, Speech",Wind,"Aircraft, Bird"
FS01_20230914_145400_2.pt,"Cicada, Insect, Speech, Wind","Aircraft, Bird, Cicada, Insect, Speech",Wind,"Aircraft, Bird"
FS01_20230914_145400_3.pt,"Cicada, Insect, Speech, Wind","Bird, Cicada, Insect, Speech",Wind,Bird
FS01_20230914_145400_4.pt,"Cicada, Insect, Speech, Wind","Bird, Cicada, Insect, Speech",Wind,Bird
FS01_20230914_145400_5.pt,"Cicada, Insect, Speech, Wind","Bird, Cicada, Insect, Speech",Wind,Bird
FS01_20230914_145400_6.pt,"Cicada, Insect, Speech, Wind","Bird, Cicada, Insect, Speech",Wind,Bird
FS01_20230914_145400_7.pt,"Cicada, Insect, Speech, Wind","Aircraft, Bird, Cicada, Insect, Speech",Wind,"Aircraft, Bird"
FS01_20230914_145400_8.pt,"Cicada, Insect, Speech, Wind","Aircraft, Bird, Cicada, Insect, Speech",Wind,"Aircraft, Bird"
FS01_20230914_145400_9.pt,"Cicada, Insect, Speech, Wind","Aircraft, Bird, Cicada, Insect, Speech",Wind,"Aircraft, Bird"
FS01_20230921_164200_1.pt,"Frog, Insect, Rain","Frog, Insect",Rain,
FS01_20230921_164200_10.pt,"Frog, Insect, Rain","Frog, Insect",Rain,
FS01_20230921_164200_2.pt,"Frog, Insect, Rain",Insect,"Frog, Rain",
FS01_20230921_164200_3.pt,"Frog, Insect, Rain","Frog, Insect",Rain,
FS01_20230921_164200_4.pt,"Frog, Insect, Rain","Frog, Insect",Rain,
FS01_20230921_164200_5.pt,"Frog, Insect, Rain","Frog, Insect",Rain,
FS01_20230921_164200_6.pt,"Frog, Insect, Rain","Frog, Insect",Rain,
FS01_20230921_164200_7.pt,"Frog, Insect, Rain","Frog, Insect",Rain,
FS01_20230921_164200_8.pt,"Frog, Insect, Rain","Frog, Insect",Rain,
FS01_20230921_164200_9.pt,"Frog, Insect, Rain","Frog, Insect",Rain,
FS01_20230924_080300_10.pt,"Bird, Cicada, Insect","Cicada, Insect",Bird,
FS01_20230924_080300_2.pt,"Bird, Cicada, Insect","Cicada, Insect",Bird,
FS01_20230924_080300_4.pt,"Bird, Cicada, Insect","Cicada, Insect",Bird,
FS01_20230924_080300_5.pt,"Bird, Cicada, Insect","Cicada, Insect",Bird,
FS01_20230924_080300_6.pt,"Bird, Cicada, Insect","Cicada, Insect",Bird,
FS01_20230924_080300_7.pt,"Bird, Cicada, Insect","Cicada, Insect",Bird,
FS01_20230924_080300_9.pt,"Bird, Cicada, Insect","Cicada, Insect",Bird,
FS01_20230925_104800_3.pt,"Bird, Insect, Speech, Wind","Insect, Speech","Bird, Wind",
FS01_20230925_104800_4.pt,"Bird, Insect, Speech, Wind","Insect, Speech, Wind",Bird,
FS01_20230925_104800_5.pt,"Bird, Insect, Speech, Wind","Insect, Speech, Wind",Bird,
FS01_20230925_104800_6.pt,"Bird, Insect, Speech, Wind","Insect, Speech, Wind",Bird,
FS01_20230925_104800_7.pt,"Bird, Insect, Speech, Wind","Insect, Speech, Wind",Bird,
FS01_20230925_104800_8.pt,"Bird, Insect, Speech, Wind","Insect, Speech, Wind",Bird,
FS01_20231007_042700_10.pt,"Frog, Insect",Insect,Frog,
FS01_20231007_042700_2.pt,"Frog, Insect","Insect, Stream",Frog,Stream
FS01_20231007_042700_3.pt,"Frog, Insect",Insect,Frog,
FS01_20231007_042700_4.pt,"Frog, Insect",Insect,Frog,
FS01_20231007_042700_5.pt,"Frog, Insect",Insect,Frog,
FS01_20231007_042700_6.pt,"Frog, Insect",Insect,Frog,
FS01_20231007_042700_7.pt,"Frog, Insect",Insect,Frog,
FS01_20231007_042700_8.pt,"Frog, Insect",Insect,Frog,
FS01_20231007_042700_9.pt,"Frog, Insect",Insect,Frog,
FS01_20231010_065700_1.pt,"Bird, Rain","Insect, Rain",Bird,Insect
FS01_20231010_065700_10.pt,"Bird, Rain","Bird, Insect, Rain",,Insect
FS01_20231010_065700_3.pt,"Bird, Rain","Insect, Rain",Bird,Insect
FS01_20231010_065700_4.pt,"Bird, Rain","Bird, Insect, Rain",,Insect
FS01_20231010_065700_5.pt,"Bird, Rain","Bird, Insect, Rain",,Insect
FS01_20231010_065700_6.pt,"Bird, Rain","Insect, Rain",Bird,Insect
FS01_20231010_065700_7.pt,"Bird, Rain","Bird, Insect, Rain",,Insect
FS01_20231010_065700_8.pt,"Bird, Rain","Bird, Insect, Rain",,Insect
FS01_20231010_065700_9.pt,"Bird, Rain","Insect, Rain",Bird,Insect
FS01_20231024_170000_1.pt,"Bird, Insect",Insect,Bird,
FS01_20231024_170000_10.pt,"Bird, Insect",Insect,Bird,
FS01_20231024_170000_3.pt,"Bird, Insect",Insect,Bird,
FS01_20231024_170000_4.pt,"Bird, Insect",Insect,Bird,
FS01_20231024_170000_5.pt,"Bird, Insect",Insect,Bird,
FS01_20231024_170000_7.pt,"Bird, Insect",Insect,Bird,
FS01_20231024_170000_8.pt,"Bird, Insect",Insect,Bird,
FS01_20231024_170000_9.pt,"Bird, Insect",Insect,Bird,
FS01_20231024_220000_1.pt,"Insect, Wind",Insect,Wind,
FS01_20231024_220000_10.pt,"Insect, Wind",Insect,Wind,
FS01_20231024_220000_2.pt,"Insect, Wind",Insect,Wind,
FS01_20231024_220000_3.pt,"Insect, Wind",Insect,Wind,
FS01_20231024_220000_4.pt,"Insect, Wind",Insect,Wind,
FS01_20231024_220000_5.pt,"Insect, Wind",Insect,Wind,
FS01_20231024_220000_6.pt,"Insect, Wind",Insect,Wind,
FS01_20231024_220000_7.pt,"Insect, Wind",Insect,Wind,
FS01_20231024_220000_8.pt,"Insect, Wind",Insect,Wind,
FS01_20231024_220000_9.pt,"Insect, Wind",Insect,Wind,
FS01_20231104_025400_10.pt,"Frog, Insect",Insect,Frog,
FS01_20231104_025400_9.pt,"Frog, Insect",Insect,Frog,
FS01_20231121_020000_1.pt,"Frog, Insect, Wind","Insect, Wind",Frog,
FS01_20231121_020000_10.pt,"Frog, Insect, Wind","Insect, Wind",Frog,
FS01_20231121_020000_2.pt,"Frog, Insect, Wind","Insect, Wind",Frog,
FS01_20231121_020000_3.pt,"Frog, Insect, Wind","Insect, Wind",Frog,
FS01_20231121_020000_4.pt,"Frog, Insect, Wind","Insect, Wind",Frog,
FS01_20231121_020000_5.pt,"Frog, Insect, Wind","Insect, Wind",Frog,
FS01_20231121_020000_6.pt,"Frog, Insect, Wind","Insect, Wind",Frog,
FS01_20231121_020000_7.pt,"Frog, Insect, Wind",Insect,"Frog, Wind",
FS01_20231121_020000_8.pt,"Frog, Insect, Wind","Insect, Wind",Frog,
FS01_20231121_020000_9.pt,"Frog, Insect, Wind","Insect, Wind",Frog,
FS01_20231121_130000_9.pt,"Insect, Wind","Bird, Insect, Wind",,Bird
FS01_20231121_210000_1.pt,"Frog, Insect",Insect,Frog,
FS01_20231121_210000_10.pt,"Frog, Insect",Insect,Frog,
FS01_20231121_210000_2.pt,"Frog, Insect",Insect,Frog,
FS01_20231121_210000_3.pt,"Frog, Insect",Insect,Frog,
FS01_20231121_210000_4.pt,"Frog, Insect",Insect,Frog,
FS01_20231121_210000_5.pt,"Frog, Insect",Insect,Frog,
FS01_20231121_210000_6.pt,"Frog, Insect",Insect,Frog,
FS01_20231121_210000_7.pt,"Frog, Insect",Insect,Frog,
FS01_20231121_210000_8.pt,"Frog, Insect",Insect,Frog,
FS01_20231121_210000_9.pt,"Frog, Insect",Insect,Frog,
FS01_20231127_124500_1.pt,"Bird, Insect, Speech, Wind","Insect, Speech, Wind",Bird,
FS01_20231127_124500_10.pt,"Bird, Insect, Speech, Wind","Insect, Speech, Wind",Bird,
FS01_20231127_124500_2.pt,"Bird, Insect, Speech, Wind","Insect, Wind","Bird, Speech",
FS01_20231127_124500_3.pt,"Bird, Insect, Speech, Wind","Speech, Wind","Bird, Insect",
FS01_20231127_124500_4.pt,"Bird, Insect, Speech, Wind","Insect, Speech, Wind",Bird,
FS01_20231127_124500_5.pt,"Bird, Insect, Speech, Wind","Insect, Speech, Wind",Bird,
FS01_20231127_124500_6.pt,"Bird, Insect, Speech, Wind","Bird, Speech","Insect, Wind",
FS01_20231127_124500_7.pt,"Bird, Insect, Speech, Wind","Insect, Speech, Wind",Bird,
FS01_20231127_124500_8.pt,"Bird, Insect, Speech, Wind","Insect, Speech","Bird, Wind",
FS01_20231127_124500_9.pt,"Bird, Insect, Speech, Wind","Bird, Speech","Insect, Wind",
FS01_20231129_182700_2.pt,Insect,"Cicada, Insect",,Cicada
FS01_20231129_182700_3.pt,Insect,"Cicada, Insect",,Cicada
FS01_20231129_182700_4.pt,Insect,"Cicada, Insect",,Cicada
FS01_20231129_182700_5.pt,Insect,"Cicada, Insect",,Cicada
FS01_20231129_182700_6.pt,Insect,"Cicada, Insect",,Cicada
FS01_20231129_182700_8.pt,Insect,"Insect, Speech",,Speech
FS01_20231210_005700_1.pt,Insect,"Insect, Wind",,Wind
FS01_20231210_005700_10.pt,Insect,"Insect, Wind",,Wind
FS01_20231210_005700_2.pt,Insect,"Insect, Wind",,Wind
FS01_20231210_005700_3.pt,Insect,"Insect, Wind",,Wind
FS01_20231210_005700_4.pt,Insect,"Insect, Wind",,Wind
FS01_20231210_005700_6.pt,Insect,"Insect, Wind",,Wind
FS01_20231210_005700_7.pt,Insect,"Insect, Wind",,Wind
FS01_20231210_005700_8.pt,Insect,"Insect, Wind",,Wind
FS01_20231210_005700_9.pt,Insect,"Insect, Wind",,Wind
FS01_20231226_011800_8.pt,Wind,"Bird, Wind",,Bird
FS01_20231230_020000_1.pt,"Frog, Insect, Rain","Insect, Rain",Frog,
FS01_20231230_020000_10.pt,"Frog, Insect, Rain","Insect, Rain",Frog,
FS01_20231230_020000_2.pt,"Frog, Insect, Rain","Insect, Rain",Frog,
FS01_20231230_020000_3.pt,"Frog, Insect, Rain","Insect, Rain",Frog,
FS01_20231230_020000_4.pt,"Frog, Insect, Rain","Insect, Rain",Frog,
FS01_20231230_020000_5.pt,"Frog, Insect, Rain","Insect, Rain",Frog,
FS01_20231230_020000_6.pt,"Frog, Insect, Rain","Insect, Rain",Frog,
FS01_20231230_020000_7.pt,"Frog, Insect, Rain","Insect, Rain",Frog,
FS01_20231230_020000_8.pt,"Frog, Insect, Rain","Insect, Rain",Frog,
FS01_20231230_020000_9.pt,"Frog, Insect, Rain","Insect, Rain",Frog,
FS02_20230115_080000_5.pt,Wind,Stream,Wind,Stream
FS02_20230115_120000_1.pt,"Bird, Wind",,"Bird, Wind",
FS02_20230115_120000_10.pt,"Bird, Wind","Bird, Rain",Wind,Rain
FS02_20230115_120000_2.pt,"Bird, Wind",Wind,Bird,
FS02_20230115_120000_3.pt,"Bird, Wind",Wind,Bird,
FS02_20230115_120000_4.pt,"Bird, Wind",Rain,"Bird, Wind",Rain
FS02_20230115_120000_6.pt,"Bird, Wind","Bird, Rain",Wind,Rain
FS02_20230115_120000_7.pt,"Bird, Wind",Rain,"Bird, Wind",Rain
FS02_20230115_120000_8.pt,"Bird, Wind",Bird,Wind,
FS02_20230115_120000_9.pt,"Bird, Wind","Bird, Rain",Wind,Rain
FS02_20230201_203600_10.pt,"Frog, Wind",Wind,Frog,
FS02_20230201_203600_2.pt,"Frog, Wind",Wind,Frog,
FS02_20230201_203600_3.pt,"Frog, Wind",Frog,Wind,
FS02_20230201_203600_9.pt,"Frog, Wind",Wind,Frog,
FS02_20230207_054200_10.pt,Rain,"Rain, Wind",,Wind
FS02_20230207_054200_6.pt,Rain,"Rain, Wind",,Wind
FS02_20230217_182400_1.pt,"Frog, Owl, Wind","Frog, Owl",Wind,
FS02_20230217_182400_10.pt,"Frog, Owl, Wind",Frog,"Owl, Wind",
FS02_20230217_182400_2.pt,"Frog, Owl, Wind","Frog, Owl",Wind,
FS02_20230217_182400_3.pt,"Frog, Owl, Wind","Frog, Owl",Wind,
FS02_20230217_182400_4.pt,"Frog, Owl, Wind",Frog,"Owl, Wind",
FS02_20230217_182400_5.pt,"Frog, Owl, Wind",Frog,"Owl, Wind",
FS02_20230217_182400_6.pt,"Frog, Owl, Wind",Frog,"Owl, Wind",
FS02_20230217_182400_7.pt,"Frog, Owl, Wind","Frog, Owl",Wind,
FS02_20230217_182400_8.pt,"Frog, Owl, Wind","Frog, Owl",Wind,
FS02_20230217_182400_9.pt,"Frog, Owl, Wind","Frog, Owl",Wind,
FS02_20230219_070000_1.pt,"Bird, Rain",Rain,Bird,
FS02_20230219_070000_2.pt,"Bird, Rain",Rain,Bird,
FS02_20230219_070000_3.pt,"Bird, Rain",Rain,Bird,
FS02_20230219_070000_4.pt,"Bird, Rain",Rain,Bird,
FS02_20230219_070000_5.pt,"Bird, Rain",Rain,Bird,
FS02_20230219_070000_6.pt,"Bird, Rain",Rain,Bird,
FS02_20230219_070000_9.pt,"Bird, Rain",Rain,Bird,
FS02_20230219_150000_10.pt,Rain,"Aircraft, Owl",Rain,"Aircraft, Owl"
FS02_20230219_150000_2.pt,Rain,"Rain, Wind",,Wind
FS02_20230219_150000_6.pt,Rain,Owl,Rain,Owl
FS02_20230219_150000_7.pt,Rain,"Aircraft, Owl",Rain,"Aircraft, Owl"
FS02_20230219_150000_8.pt,Rain,"Aircraft, Owl, Rain",,"Aircraft, Owl"
FS02_20230219_150000_9.pt,Rain,"Aircraft, Owl, Rain",,"Aircraft, Owl"
FS02_20230307_160000_10.pt,"Bird, Wind",Wind,Bird,
FS02_20230307_160000_5.pt,"Bird, Wind",Wind,Bird,
FS02_20230307_160000_7.pt,"Bird, Wind",Wind,Bird,
FS02_20230307_160000_8.pt,"Bird, Wind",Wind,Bird,
FS02_20230307_160000_9.pt,"Bird, Wind",Wind,Bird,
FS02_20230311_083300_1.pt,Insect,,Insect,
FS02_20230311_083300_10.pt,Insect,,Insect,
FS02_20230311_083300_2.pt,Insect,,Insect,
FS02_20230311_083300_3.pt,Insect,Bird,Insect,Bird
FS02_20230311_083300_4.pt,Insect,,Insect,
FS02_20230311_083300_5.pt,Insect,Bird,Insect,Bird
FS02_20230311_083300_6.pt,Insect,,Insect,
FS02_20230311_083300_7.pt,Insect,Bird,Insect,Bird
FS02_20230311_083300_8.pt,Insect,,Insect,
FS02_20230311_083300_9.pt,Insect,,Insect,
FS02_20230316_171800_1.pt,Cicada,"Cicada, Wind",,Wind
FS02_20230316_171800_10.pt,Cicada,Wind,Cicada,Wind
FS02_20230316_171800_2.pt,Cicada,"Cicada, Wind",,Wind
FS02_20230316_171800_3.pt,Cicada,Wind,Cicada,Wind
FS02_20230316_171800_4.pt,Cicada,Wind,Cicada,Wind
FS02_20230316_171800_5.pt,Cicada,"Cicada, Wind",,Wind
FS02_20230316_171800_6.pt,Cicada,"Cicada, Wind",,Wind
FS02_20230316_171800_7.pt,Cicada,Wind,Cicada,Wind
FS02_20230316_171800_8.pt,Cicada,"Cicada, Wind",,Wind
FS02_20230316_171800_9.pt,Cicada,Wind,Cicada,Wind
FS02_20230322_220000_5.pt,"Insect, Owl","Frog, Insect",Owl,Frog
FS02_20230322_220000_8.pt,"Insect, Owl","Frog, Insect",Owl,Frog
FS02_20230322_220000_9.pt,"Insect, Owl","Frog, Insect",Owl,Frog
FS02_20230401_225700_9.pt,"Frog, Rain","Frog, Insect, Rain",,Insect
FS02_20230402_073600_1.pt,"Bird, Cicada, Rain",Rain,"Bird, Cicada",
FS02_20230402_073600_10.pt,"Bird, Cicada, Rain",Rain,"Bird, Cicada",
FS02_20230402_073600_2.pt,"Bird, Cicada, Rain",Rain,"Bird, Cicada",
FS02_20230402_073600_4.pt,"Bird, Cicada, Rain",Rain,"Bird, Cicada",
FS02_20230402_073600_5.pt,"Bird, Cicada, Rain",Rain,"Bird, Cicada",
FS02_20230402_073600_6.pt,"Bird, Cicada, Rain","Bird, Rain",Cicada,
FS02_20230402_073600_7.pt,"Bird, Cicada, Rain","Bird, Rain",Cicada,
FS02_20230402_073600_8.pt,"Bird, Cicada, Rain","Cicada, Rain",Bird,
FS02_20230402_073600_9.pt,"Bird, Cicada, Rain","Bird, Rain",Cicada,
FS02_20230408_140300_10.pt,Bird,,Bird,
FS02_20230408_140300_2.pt,Bird,,Bird,
FS02_20230408_140300_3.pt,Bird,,Bird,
FS02_20230408_140300_4.pt,Bird,,Bird,
FS02_20230408_140300_5.pt,Bird,,Bird,
FS02_20230416_024500_2.pt,Rain,"Frog, Rain",,Frog
FS02_20230416_024500_4.pt,Rain,,Rain,
FS02_20230428_231800_1.pt,"Frog, Insect",Insect,Frog,
FS02_20230428_231800_2.pt,"Frog, Insect",Insect,Frog,
FS02_20230428_231800_3.pt,"Frog, Insect",Insect,Frog,
FS02_20230428_231800_5.pt,"Frog, Insect","Insect, Rain",Frog,Rain
FS02_20230428_231800_8.pt,"Frog, Insect",Insect,Frog,
FS02_20230428_231800_9.pt,"Frog, Insect",Insect,Frog,
FS02_20230515_135400_1.pt,"Bird, Insect, Wind","Bird, Insect",Wind,
FS02_20230515_135400_10.pt,"Bird, Insect, Wind","Bird, Insect",Wind,
FS02_20230515_135400_2.pt,"Bird, Insect, Wind","Bird, Insect",Wind,
FS02_20230515_135400_3.pt,"Bird, Insect, Wind","Bird, Insect",Wind,
FS02_20230515_135400_4.pt,"Bird, Insect, Wind","Bird, Insect",Wind,
FS02_20230515_135400_5.pt,"Bird, Insect, Wind","Bird, Insect, Speech",Wind,Speech
FS02_20230515_135400_6.pt,"Bird, Insect, Wind","Bird, Insect",Wind,
FS02_20230515_135400_7.pt,"Bird, Insect, Wind","Bird, Insect",Wind,
FS02_20230515_135400_8.pt,"Bird, Insect, Wind","Insect, Speech","Bird, Wind",Speech
