File,Ground Truth,Prediction,Missed (FN),False Alarm (FP)
FS02_20230515_135400_9.pt,"Bird, Insect, Wind","Insect, Speech","Bird, Wind",Speech
FS02_20230517_090000_10.pt,"Bird, Insect","Bird, Insect, Wind",,Wind
FS02_20230613_155100_4.pt,Cicada,"Cicada, Stream",,Stream
FS02_20230616_142700_6.pt,Cicada,"Cicada, Rain",,Rain
FS02_20230616_142700_7.pt,Cicada,"Cicada, Rain",,Rain
FS02_20230616_142700_8.pt,Cicada,"Cicada, Rain",,Rain
FS02_20230620_130000_9.pt,Cicada,"Cicada, Rain",,Rain
FS02_20230622_145400_1.pt,"Aircraft, Cicada",Cicada,Aircraft,
FS02_20230622_145400_10.pt,"Aircraft, Cicada",Cicada,Aircraft,
FS02_20230622_145400_2.pt,"Aircraft, Cicada",Cicada,Aircraft,
FS02_20230622_145400_3.pt,"Aircraft, Cicada",Cicada,Aircraft,
FS02_20230622_145400_4.pt,"Aircraft, Cicada",Cicada,Aircraft,
FS02_20230622_145400_5.pt,"Aircraft, Cicada",Cicada,Aircraft,
FS02_20230622_145400_6.pt,"Aircraft, Cicada",Cicada,Aircraft,
FS02_20230622_145400_7.pt,"Aircraft, Cicada",Cicada,Aircraft,
FS02_20230622_145400_8.pt,"Aircraft, Cicada",Cicada,Aircraft,
FS02_20230622_145400_9.pt,"Aircraft, Cicada",Cicada,Aircraft,
FS02_20230703_012700_1.pt,Insect,"Insect, Stream",,Stream
FS02_20230703_012700_2.pt,Insect,"Insect, Stream",,Stream
FS02_20230703_012700_4.pt,Insect,"Insect, Stream",,Stream
FS02_20230703_012700_6.pt,Insect,"Insect, Stream",,Stream
FS02_20230707_025700_8.pt,Insect,"Insect, Owl",,Owl
FS02_20230718_040000_4.pt,"Insect, Rain","Frog, Insect, Rain",,Frog
FS02_20230728_090300_1.pt,"Cicada, Stream","Cicada, Wind",Stream,Wind
FS02_20230728_090300_10.pt,"Cicada, Stream","Cicada, Wind",Stream,Wind
FS02_20230728_090300_8.pt,"Cicada, Stream",Cicada,Stream,
FS02_20230728_090300_9.pt,"Cicada, Stream",Cicada,Stream,
FS02_20230728_112700_1.pt,"Cicada, Rain","Cicada, Stream",Rain,Stream
FS02_20230728_112700_10.pt,"Cicada, Rain","Cicada, Stream",Rain,Stream
FS02_20230728_112700_2.pt,"Cicada, Rain","Cicada, Stream",Rain,Stream
FS02_20230728_112700_3.pt,"Cicada, Rain","Cicada, Stream",Rain,Stream
FS02_20230728_112700_4.pt,"Cicada, Rain","Cicada, Stream",Rain,Stream
FS02_20230728_112700_5.pt,"Cicada, Rain","Cicada, Stream",Rain,Stream
FS02_20230728_112700_6.pt,"Cicada, Rain","Cicada, Stream",Rain,Stream
FS02_20230728_112700_7.pt,"Cicada, Rain","Cicada, Stream",Rain,Stream
FS02_20230728_112700_8.pt,"Cicada, Rain","Cicada, Stream",Rain,Stream
FS02_20230728_112700_9.pt,"Cicada, Rain","Cicada, Stream",Rain,Stream
FS02_20230814_182100_3.pt,Cicada,"Cicada, Wind",,Wind
FS02_20230817_074200_1.pt,"Bird, Cicada",Cicada,Bird,
FS02_20230817_074200_10.pt,"Bird, Cicada",Cicada,Bird,
FS02_20230817_074200_2.pt,"Bird, Cicada",Cicada,Bird,
FS02_20230817_074200_3.pt,"Bird, Cicada",Cicada,Bird,
FS02_20230817_074200_4.pt,"Bird, Cicada",Cicada,Bird,
FS02_20230817_074200_5.pt,"Bird, Cicada",Cicada,Bird,
FS02_20230817_074200_6.pt,"Bird, Cicada",Cicada,Bird,
FS02_20230817_074200_7.pt,"Bird, Cicada",Cicada,Bird,
FS02_20230817_074200_8.pt,"Bird, Cicada",Cicada,Bird,
FS02_20230817_074200_9.pt,"Bird, Cicada",Cicada,Bird,
FS02_20230827_043300_1.pt,"Frog, Insect",Insect,Frog,
FS02_20230827_043300_10.pt,"Frog, Insect",Insect,Frog,
FS02_20230827_043300_2.pt,"Frog, Insect",Insect,Frog,
FS02_20230827_043300_3.pt,"Frog, Insect",Insect,Frog,
FS02_20230827_043300_4.pt,"Frog, Insect",Insect,Frog,
FS02_20230827_043300_5.pt,"Frog, Insect",Insect,Frog,
FS02_20230827_043300_6.pt,"Frog, Insect",Insect,Frog,
FS02_20230827_043300_7.pt,"Frog, Insect",Insect,Frog,
FS02_20230827_043300_8.pt,"Frog, Insect",Insect,Frog,
FS02_20230827_043300_9.pt,"Frog, Insect",Insect,Frog,
FS02_20230829_030300_1.pt,"Insect, Owl",Insect,Owl,
FS02_20230829_030300_10.pt,"Insect, Owl","Cicada, Insect",Owl,Cicada
FS02_20230829_030300_2.pt,"Insect, Owl","Cicada, Insect",Owl,Cicada
FS02_20230829_030300_3.pt,"Insect, Owl","Cicada, Insect",Owl,Cicada
FS02_20230829_030300_4.pt,"Insect, Owl","Cicada, Insect",Owl,Cicada
FS02_20230829_030300_5.pt,"Insect, Owl",Cicada,"Insect, Owl",Cicada
FS02_20230829_030300_6.pt,"Insect, Owl","Cicada, Insect",Owl,Cicada
FS02_20230829_030300_7.pt,"Insect, Owl",Cicada,"Insect, Owl",Cicada
FS02_20230829_030300_8.pt,"Insect, Owl","Cicada, Insect",Owl,Cicada
FS02_20230829_030300_9.pt,"Insect, Owl","Cicada, Insect",Owl,Cicada
FS02_20230829_115700_1.pt,"Cicada, Wind",Wind,Cicada,
FS02_20230829_115700_4.pt,"Cicada, Wind",Wind,Cicada,
FS02_20230829_134800_10.pt,"Cicada, Wind",Wind,Cicada,
FS02_20230829_134800_2.pt,"Cicada, Wind",Wind,Cicada,
FS02_20230829_134800_5.pt,"Cicada, Wind",Cicada,Wind,
FS02_20230829_134800_6.pt,"Cicada, Wind",Cicada,Wind,
FS02_20230829_134800_7.pt,"Cicada, Wind",Cicada,Wind,
FS02_20230829_134800_8.pt,"Cicada, Wind",Cicada,Wind,
FS02_20230906_203600_1.pt,Stream,"Cicada, Stream",,Cicada
FS02_20230906_203600_10.pt,Stream,"Cicada, Stream",,Cicada
FS02_20230906_203600_2.pt,Stream,"Cicada, Stream",,Cicada
FS02_20230906_203600_3.pt,Stream,"Cicada, Stream",,Cicada
FS02_20230906_203600_4.pt,Stream,"Cicada, Stream",,Cicada
FS02_20230906_203600_5.pt,Stream,"Cicada, Stream",,Cicada
FS02_20230906_203600_6.pt,Stream,"Cicada, Stream",,Cicada
FS02_20230906_203600_7.pt,Stream,"Cicada, Stream",,Cicada
FS02_20230906_203600_8.pt,Stream,"Cicada, Stream",,Cicada
FS02_20230906_203600_9.pt,Stream,"Cicada, Stream",,Cicada
FS02_20230909_053000_1.pt,Stream,"Cicada, Stream",,Cicada
FS02_20230909_053000_10.pt,Stream,"Cicada, Stream",,Cicada
FS02_20230909_053000_2.pt,Stream,"Cicada, Stream",,Cicada
FS02_20230909_053000_3.pt,Stream,"Cicada, Stream",,Cicada
FS02_20230909_053000_4.pt,Stream,"Cicada, Stream",,Cicada
FS02_20230909_053000_5.pt,Stream,"Cicada, Stream",,Cicada
FS02_20230909_053000_6.pt,Stream,"Cicada, Stream",,Cicada
FS02_20230909_053000_7.pt,Stream,"Cicada, Stream",,Cicada
FS02_20230909_053000_8.pt,Stream,"Cicada, Stream",,Cicada
FS02_20230909_053000_9.pt,Stream,"Cicada, Stream",,Cicada
FS02_20230912_021200_1.pt,"Insect, Stream","Stream, Wind",Insect,Wind
FS02_20230912_021200_10.pt,"Insect, Stream",Stream,Insect,
FS02_20230912_021200_2.pt,"Insect, Stream",Stream,Insect,
FS02_20230912_021200_3.pt,"Insect, Stream","Stream, Wind",Insect,Wind
FS02_20230912_021200_4.pt,"Insect, Stream","Stream, Wind",Insect,Wind
FS02_20230912_021200_5.pt,"Insect, Stream",Stream,Insect,
FS02_20230912_021200_6.pt,"Insect, Stream","Stream, Wind",Insect,Wind
FS02_20230912_021200_7.pt,"Insect, Stream","Stream, Wind",Insect,Wind
FS02_20230912_021200_8.pt,"Insect, Stream","Stream, Wind",Insect,Wind
FS02_20230912_021200_9.pt,"Insect, Stream","Stream, Wind",Insect,Wind
FS02_20230917_113300_10.pt,Stream,Wind,Stream,Wind
FS02_20230917_113300_4.pt,Stream,"Insect, Stream",,Insect
FS02_20230917_113300_5.pt,Stream,"Stream, Wind",,Wind
FS02_20230917_113300_8.pt,Stream,"Stream, Wind",,Wind
FS02_20230917_113300_9.pt,Stream,"Cicada, Wind",Stream,"Cicada, Wind"
FS02_20230919_080000_1.pt,"Aircraft, Cicada","Aircraft, Insect, Wind",Cicada,"Insect, Wind"
FS02_20230919_080000_10.pt,"Aircraft, Cicada","Cicada, Insect, Wind",Aircraft,"Insect, Wind"
FS02_20230919_080000_8.pt,"Aircraft, Cicada","Cicada, Wind",Aircraft,Wind
FS02_20230919_080000_9.pt,"Aircraft, Cicada","Cicada, Wind",Aircraft,Wind
FS02_20230919_170000_1.pt,"Cicada, Wind",Cicada,Wind,
FS02_20230919_170000_10.pt,"Cicada, Wind",Cicada,Wind,
FS02_20230919_170000_2.pt,"Cicada, Wind",Cicada,Wind,
FS02_20230919_170000_3.pt,"Cicada, Wind",Cicada,Wind,
FS02_20230919_170000_8.pt,"Cicada, Wind",Cicada,Wind,
FS02_20230919_170000_9.pt,"Cicada, Wind",Cicada,Wind,
FS02_20230923_201200_1.pt,"Insect, Mammal",Insect,Mammal,
FS02_20230923_201200_10.pt,"Insect, Mammal",Insect,Mammal,
FS02_20230923_201200_2.pt,"Insect, Mammal",Insect,Mammal,
FS02_20230923_201200_3.pt,"Insect, Mammal",Insect,Mammal,
FS02_20230923_201200_4.pt,"Insect, Mammal",Insect,Mammal,
FS02_20230923_201200_5.pt,"Insect, Mammal",Insect,Mammal,
FS02_20230923_201200_6.pt,"Insect, Mammal",Insect,Mammal,
FS02_20230923_201200_7.pt,"Insect, Mammal",Insect,Mammal,
FS02_20230923_201200_8.pt,"Insect, Mammal",Insect,Mammal,
FS02_20230923_201200_9.pt,"Insect, Mammal",Insect,Mammal,
FS02_20230924_215400_1.pt,"Insect, Owl, Wind",Insect,"Owl, Wind",
FS02_20230924_215400_10.pt,"Insect, Owl, Wind",Insect,"Owl, Wind",
FS02_20230924_215400_2.pt,"Insect, Owl, Wind",Insect,"Owl, Wind",
FS02_20230924_215400_3.pt,"Insect, Owl, Wind",Insect,"Owl, Wind",
FS02_20230924_215400_4.pt,"Insect, Owl, Wind",Insect,"Owl, Wind",
FS02_20230924_215400_5.pt,"Insect, Owl, Wind",Insect,"Owl, Wind",
FS02_20230924_215400_6.pt,"Insect, Owl, Wind",Insect,"Owl, Wind",
FS02_20230924_215400_7.pt,"Insect, Owl, Wind",Insect,"Owl, Wind",
FS02_20230924_215400_8.pt,"Insect, Owl, Wind",Insect,"Owl, Wind",
FS02_20230924_215400_9.pt,"Insect, Owl, Wind",Insect,"Owl, Wind",
FS02_20230926_134200_1.pt,Wind,"Rain, Wind",,Rain
FS02_20230926_134200_9.pt,Wind,"Insect, Wind",,Insect
FS02_20231011_055400_1.pt,"Bird, Rain, Stream","Rain, Stream",Bird,
FS02_20231011_055400_10.pt,"Bird, Rain, Stream",Rain,"Bird, Stream",
FS02_20231011_055400_2.pt,"Bird, Rain, Stream","Rain, Stream",Bird,
FS02_20231011_055400_3.pt,"Bird, Rain, Stream","Rain, Stream",Bird,
FS02_20231011_055400_4.pt,"Bird, Rain, Stream","Rain, Stream",Bird,
FS02_20231011_055400_5.pt,"Bird, Rain, Stream",Rain,"Bird, Stream",
FS02_20231011_055400_6.pt,"Bird, Rain, Stream","Rain, Stream",Bird,
FS02_20231011_055400_7.pt,"Bird, Rain, Stream",Rain,"Bird, Stream",
FS02_20231011_055400_8.pt,"Bird, Rain, Stream",Rain,"Bird, Stream",
FS02_20231011_055400_9.pt,"Bird, Rain, Stream",Rain,"Bird, Stream",
FS02_20231027_082700_1.pt,"Aircraft, Rain, Wind","Aircraft, Rain",Wind,
FS02_20231027_082700_2.pt,"Aircraft, Rain, Wind","Aircraft, Rain",Wind,
FS02_20231027_082700_3.pt,"Aircraft, Rain, Wind","Aircraft, Rain",Wind,
FS02_20231027_082700_4.pt,"Aircraft, Rain, Wind",Aircraft,"Rain, Wind",
FS02_20231027_082700_5.pt,"Aircraft, Rain, Wind",Aircraft,"Rain, Wind",
FS02_20231027_082700_6.pt,"Aircraft, Rain, Wind","Aircraft, Rain",Wind,
FS02_20231027_082700_7.pt,"Aircraft, Rain, Wind",Aircraft,"Rain, Wind",
FS02_20231027_082700_8.pt,"Aircraft, Rain, Wind","Aircraft, Rain",Wind,
FS02_20231027_082700_9.pt,"Aircraft, Rain, Wind","Aircraft, Rain",Wind,
FS02_20231108_233000_1.pt,"Insect, Wind",Insect,Wind,
FS02_20231108_233000_10.pt,"Insect, Wind",Insect,Wind,
FS02_20231108_233000_2.pt,"Insect, Wind",Insect,Wind,
FS02_20231108_233000_3.pt,"Insect, Wind",Insect,Wind,
FS02_20231108_233000_4.pt,"Insect, Wind",Insect,Wind,
FS02_20231108_233000_5.pt,"Insect, Wind",Insect,Wind,
FS02_20231108_233000_6.pt,"Insect, Wind",Insect,Wind,
FS02_20231108_233000_7.pt,"Insect, Wind",Insect,Wind,
FS02_20231108_233000_8.pt,"Insect, Wind",Insect,Wind,
FS02_20231108_233000_9.pt,"Insect, Wind",Insect,Wind,
FS02_20231121_140000_1.pt,"Aircraft, Insect, Wind","Aircraft, Wind",Insect,
FS02_20231121_140000_10.pt,"Aircraft, Insect, Wind","Aircraft, Wind",Insect,
FS02_20231121_140000_2.pt,"Aircraft, Insect, Wind","Aircraft, Wind",Insect,
FS02_20231121_140000_3.pt,"Aircraft, Insect, Wind","Aircraft, Wind",Insect,
FS02_20231121_140000_4.pt,"Aircraft, Insect, Wind","Aircraft, Wind",Insect,
FS02_20231121_140000_5.pt,"Aircraft, Insect, Wind",Aircraft,"Insect, Wind",
FS02_20231121_140000_8.pt,"Aircraft, Insect, Wind","Aircraft, Wind",Insect,
FS02_20231121_140000_9.pt,"Aircraft, Insect, Wind",Wind,"Aircraft, Insect",
FS02_20231121_220000_4.pt,"Insect, Wind","Bird, Mammal, Wind",Insect,"Bird, Mammal"
FS02_20231121_220000_5.pt,"Insect, Wind","Insect, Mammal, Wind",,Mammal
FS02_20231121_220000_7.pt,"Insect, Wind","Aircraft, Insect, Wind",,Aircraft
FS02_20231121_220000_9.pt,"Insect, Wind","Insect, Mammal, Wind",,Mammal
FS02_20231122_041500_1.pt,"Frog, Insect, Wind","Insect, Wind",Frog,
FS02_20231122_041500_10.pt,"Frog, Insect, Wind","Frog, Wind",Insect,
FS02_20231122_041500_2.pt,"Frog, Insect, Wind","Frog, Wind",Insect,
FS02_20231122_041500_3.pt,"Frog, Insect, Wind","Frog, Wind",Insect,
FS02_20231122_041500_4.pt,"Frog, Insect, Wind","Frog, Wind",Insect,
FS02_20231122_041500_5.pt,"Frog, Insect, Wind","Frog, Wind",Insect,
FS02_20231122_041500_8.pt,"Frog, Insect, Wind","Frog, Wind",Insect,
FS02_20231122_041500_9.pt,"Frog, Insect, Wind","Frog, Wind",Insect,
FS02_20231210_230600_1.pt,"Insect, Wind","Insect, Stream, Wind",,Stream
FS02_20231210_230600_2.pt,"Insect, Wind","Insect, Stream, Wind",,Stream
FS02_20231210_230600_3.pt,"Insect, Wind","Insect, Stream, Wind",,Stream
FS02_20231210_230600_7.pt,"Insect, Wind","Insect, Stream, Wind",,Stream
FS02_20231211_154200_1.pt,Insect,"Insect, Wind",,Wind
FS02_20231211_154200_10.pt,Insect,"Insect, Wind",,Wind
FS02_20231211_154200_2.pt,Insect,"Insect, Wind",,Wind
FS02_20231211_154200_3.pt,Insect,"Insect, Wind",,Wind
FS02_20231211_154200_4.pt,Insect,"Insect, Wind",,Wind
FS02_20231211_154200_5.pt,Insect,"Insect, Wind",,Wind
FS02_20231211_154200_6.pt,Insect,"Insect, Wind",,Wind
FS02_20231211_154200_7.pt,Insect,"Insect, Wind",,Wind
FS02_20231211_154200_8.pt,Insect,Wind,Insect,Wind
FS02_20231211_154200_9.pt,Insect,"Insect, Wind",,Wind
FS02_20231230_090000_1.pt,"Bird, Rain",Rain,Bird,
FS02_20231230_090000_10.pt,"Bird, Rain",Rain,Bird,
FS02_20231230_090000_2.pt,"Bird, Rain",Rain,Bird,
FS02_20231230_090000_3.pt,"Bird, Rain",Rain,Bird,
FS02_20231230_090000_4.pt,"Bird, Rain","Rain, Wind",Bird,Wind
FS02_20231230_090000_5.pt,"Bird, Rain",Rain,Bird,
FS02_20231230_090000_6.pt,"Bird, Rain","Rain, Wind",Bird,Wind
FS02_20231230_090000_7.pt,"Bird, Rain","Rain, Wind",Bird,Wind
FS02_20231230_090000_9.pt,"Bird, Rain",Rain,Bird,
FS02_20231230_190000_1.pt,"Frog, Speech, Wind","Frog, Insect, Wind",Speech,Insect
FS02_20231230_190000_10.pt,"Frog, Speech, Wind",Aircraft,"Frog, Speech, Wind",Aircraft
FS02_20231230_190000_2.pt,"Frog, Speech, Wind","Frog, Wind",Speech,
FS02_20231230_190000_3.pt,"Frog, Speech, Wind","Frog, Wind",Speech,
FS02_20231230_190000_4.pt,"Frog, Speech, Wind","Insect, Wind","Frog, Speech",Insect
FS02_20231230_190000_5.pt,"Frog, Speech, Wind",Aircraft,"Frog, Speech, Wind",Aircraft
FS02_20231230_190000_6.pt,"Frog, Speech, Wind","Aircraft, Frog","Speech, Wind",Aircraft
FS02_20231230_190000_7.pt,"Frog, Speech, Wind",Aircraft,"Frog, Speech, Wind",Aircraft
FS02_20231230_190000_8.pt,"Frog, Speech, Wind","Aircraft, Speech","Frog, Wind",Aircraft
FS02_20231230_190000_9.pt,"Frog, Speech, Wind",Aircraft,"Frog, Speech, Wind",Aircraft
GW01_20241116_053000_1.pt,Rain,"Aircraft, Rain",,Aircraft
GW01_20241116_053000_8.pt,Rain,"Rain, Wind",,Wind
GW01_20250409_023000_1.pt,"Frog, Rain, Wind","Frog, Rain",Wind,
GW01_20250409_023000_10.pt,"Frog, Rain, Wind","Frog, Rain",Wind,
GW01_20250409_023000_2.pt,"Frog, Rain, Wind","Frog, Rain",Wind,
GW01_20250409_023000_3.pt,"Frog, Rain, Wind","Frog, Rain",Wind,
GW01_20250409_023000_4.pt,"Frog, Rain, Wind","Frog, Rain",Wind,
GW01_20250409_023000_5.pt,"Frog, Rain, Wind","Frog, Rain",Wind,
GW01_20250409_023000_6.pt,"Frog, Owl, Rain, Wind","Frog, Owl, Rain",Wind,
GW01_20250409_023000_7.pt,"Frog, Owl, Rain, Wind","Frog, Owl, Rain",Wind,
GW01_20250409_023000_8.pt,"Frog, Rain, Wind","Frog, Rain",Wind,
GW01_20250409_023000_9.pt,"Frog, Rain, Wind","Frog, Rain",Wind,
GW01_20250415_214500_2.pt,"Owl, Wind",Wind,Owl,
GW01_20250415_214500_3.pt,"Owl, Wind",Wind,Owl,
GW01_20250415_214500_4.pt,"Owl, Wind",Wind,Owl,
GW01_20250415_214500_6.pt,"Owl, Wind",Wind,Owl,
GW01_20250415_214500_7.pt,"Owl, Wind",Wind,Owl,
GW01_20250415_214500_8.pt,"Owl, Wind",Wind,Owl,
GW01_20250516_053000_1.pt,"Bird, Wind",Bird,Wind,
GW01_20250516_053000_10.pt,"Aircraft, Bird",Bird,Aircraft,
GW01_20250516_053000_2.pt,"Bird, Wind",Bird,Wind,
GW01_20250516_053000_3.pt,"Bird, Wind","Bird, Owl",Wind,Owl
GW01_20250516_053000_5.pt,"Aircraft, Bird","Aircraft, Bird, Owl",,Owl
GW01_20250516_053000_8.pt,"Aircraft, Bird","Aircraft, Bird, Owl",,Owl
GW01_20250626_173000_2.pt,Rain,"Rain, Wind",,Wind
GW01_20250626_173000_3.pt,"Aircraft, Rain","Rain, Wind",Aircraft,Wind
GW01_20250626_173000_4.pt,"Aircraft, Rain",Rain,Aircraft,
GW01_20250626_173000_6.pt,"Aircraft, Rain",Rain,Aircraft,
GW01_20250704_134500_1.pt,"Bird, Cicada",Cicada,Bird,
GW01_20250704_134500_10.pt,"Bird, Cicada",Cicada,Bird,
GW01_20250704_134500_2.pt,"Bird, Cicada",Cicada,Bird,
GW01_20250704_134500_3.pt,"Bird, Cicada",Cicada,Bird,
GW01_20250704_134500_5.pt,"Bird, Cicada",Cicada,Bird,
GW01_20250706_020000_10.pt,"Insect, Rain",Insect,Rain,
GW01_20250706_020000_3.pt,"Insect, Rain",Insect,Rain,
GW01_20250706_020000_5.pt,"Insect, Rain",Insect,Rain,
GW01_20250706_020000_6.pt,"Insect, Rain",Insect,Rain,
GW01_20250706_020000_7.pt,"Insect, Rain",Insect,Rain,
GW01_20250706_020000_8.pt,"Frog, Insect, Rain",Insect,"Frog, Rain",
GW01_20250706_020000_9.pt,"Frog, Insect, Rain",Insect,"Frog, Rain",
GW01_20250709_233000_10.pt,"Rain, Wind",Rain,Wind,
GW03_20241124_151500_1.pt,"Aircraft, Bird, Mammal","Aircraft, Bird",Mammal,
GW03_20241124_151500_10.pt,"Aircraft, Mammal","Aircraft, Bird",Mammal,Bird
GW03_20241124_151500_2.pt,"Aircraft, Bird, Mammal",Aircraft,"Bird, Mammal",
GW03_20241124_151500_3.pt,"Aircraft, Bird, Mammal","Aircraft, Bird",Mammal,
GW03_20241124_151500_4.pt,"Aircraft, Bird, Mammal","Aircraft, Bird, Machine",Mammal,Machine
GW03_20241124_151500_5.pt,"Aircraft, Mammal","Aircraft, Bird",Mammal,Bird
GW03_20241124_151500_6.pt,"Aircraft, Mammal","Aircraft, Bird",Mammal,Bird
GW03_20241124_151500_7.pt,"Aircraft, Mammal","Aircraft, Bird",Mammal,Bird
GW03_20241124_151500_8.pt,"Aircraft, Mammal","Aircraft, Bird",Mammal,Bird
GW03_20241124_151500_9.pt,"Aircraft, Mammal","Aircraft, Bird",Mammal,Bird
GW03_20241204_020000_1.pt,,Wind,,Wind
GW03_20241204_020000_2.pt,,Wind,,Wind
GW03_20241204_020000_3.pt,,Wind,,Wind
GW03_20241204_020000_4.pt,Aircraft,Wind,Aircraft,Wind
GW03_20241221_223000_3.pt,,Wind,,Wind
GW03_20241221_223000_9.pt,,Wind,,Wind
GW03_20250127_001500_1.pt,"Rain, Wind","Aircraft, Rain",Wind,Aircraft
GW03_20250127_001500_10.pt,"Rain, Wind",Rain,Wind,
GW03_20250127_001500_2.pt,"Rain, Wind","Aircraft, Rain",Wind,Aircraft
GW03_20250127_001500_3.pt,"Rain, Wind","Aircraft, Rain",Wind,Aircraft
GW03_20250127_001500_4.pt,"Rain, Wind","Aircraft, Rain",Wind,Aircraft
GW03_20250127_001500_5.pt,"Rain, Wind","Aircraft, Rain",Wind,Aircraft
GW03_20250127_001500_6.pt,"Rain, Wind",Rain,Wind,
GW03_20250127_001500_7.pt,"Rain, Wind",Rain,Wind,
GW03_20250127_001500_8.pt,"Rain, Wind","Aircraft, Rain",Wind,Aircraft
GW03_20250127_001500_9.pt,"Rain, Wind",Rain,Wind,
GW03_20250227_191500_10.pt,"Aircraft, Owl",Aircraft,Owl,
GW03_20250227_191500_6.pt,Aircraft,"Aircraft, Owl",,Owl
GW03_20250227_191500_7.pt,"Aircraft, Owl",Aircraft,Owl,
GW03_20250227_191500_8.pt,"Aircraft, Owl",Aircraft,Owl,
GW03_20250303_134500_1.pt,"Aircraft, Machine",Machine,Aircraft,
GW03_20250303_134500_10.pt,"Aircraft, Machine","Speech, Wind","Aircraft, Machine","Speech, Wind"
GW03_20250303_134500_2.pt,"Aircraft, Machine",Machine,Aircraft,
GW03_20250303_134500_3.pt,"Aircraft, Machine",Machine,Aircraft,
GW03_20250303_134500_6.pt,"Aircraft, Machine",Aircraft,Machine,
GW03_20250303_134500_7.pt,"Aircraft, Machine",Aircraft,Machine,
GW03_20250303_134500_8.pt,"Aircraft, Machine",Aircraft,Machine,
GW03_20250303_134500_9.pt,"Aircraft, Machine","Aircraft, Owl",Machine,Owl
GW03_20250315_024500_1.pt,Wind,"Aircraft, Frog, Wind",,"Aircraft, Frog"
GW03_20250315_024500_2.pt,"Bat, Wind","Bat, Frog, Wind",,Frog
GW03_20250315_024500_3.pt,"Bat, Rain, Wind","Frog, Wind","Bat, Rain",Frog
GW03_20250315_024500_5.pt,"Rain, Wind","Frog, Rain, Wind",,Frog
GW03_20250315_024500_6.pt,"Rain, Wind","Frog, Rain",Wind,Frog
GW03_20250315_024500_7.pt,"Rain, Wind",Frog,"Rain, Wind",Frog
GW03_20250315_024500_8.pt,"Rain, Wind",Frog,"Rain, Wind",Frog
GW03_20250315_024500_9.pt,Wind,Frog,Wind,Frog
GW03_20250724_213000_1.pt,"Bat, Wind",,"Bat, Wind",
GW03_20250724_213000_2.pt,"Bat, Wind",Bat,Wind,
GW03_20250724_213000_4.pt,"Bat, Wind",Wind,Bat,
GW03_20250724_213000_5.pt,"Bat, Wind","Aircraft, Rain, Wind",Bat,"Aircraft, Rain"
GW03_20250724_213000_6.pt,"Bat, Machine, Wind",Aircraft,"Bat, Machine, Wind",Aircraft
GW03_20250724_213000_7.pt,"Bat, Machine, Wind","Aircraft, Bat","Machine, Wind",Aircraft
GW03_20250724_213000_8.pt,"Bat, Wind","Aircraft, Bat, Wind",,Aircraft
GW03_20250724_213000_9.pt,"Bat, Wind",Wind,Bat,
GWB01_20241125_183000_10.pt,"Rain, Wind",Rain,Wind,
